0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
30,20,21,27,28,29,30,31,32,40,45,46,91,92,93,94,95,96,97,98,99,,,,,,,,,,,,,,,,,,,,
38,13,14,15,16,17,18,19,22,23,24,25,26,33,34,35,36,37,38,39,41,42.0,43.0,44.0,47.0,48.0,49.0,50.0,51.0,52.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0
68,0,1,2,3,4,5,6,7,8,9,10,11,12,53,54,55,56,57,58,59,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0
