0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
4,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,,,,,,,,,,,,,,,,,,,,,
60,17,18,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37,38,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,49.0,50.0,53.0,54.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,67.0
69,36,48,51,52,55,56,57,58,66,68,69,70,71,72,73,74,75,76,77,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0
