0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
90,0,1,2,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0
73,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,65,66,67,68,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,,,,,,,,,,,,,,
