0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
5,0,1,2,3,4,5,6,77,81,82,85,86,88,89,90,91,93,94,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,7,8,9,10,50,60,71,72,73,74,75,76,78,79,80,83,84,87,92,96.0,97.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0
