Wearable-1,Ax,Ay,Az,Gx,Gy,Gz,Sensor time,,Wearable-2,Ax,Ay,Az,Gx,Gy,Gz,Sensor time
192.168.43.70,-0.477539063,0.702148438,0.670410156,-2.502441406,-0.122070313,-0.305175781,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.035644531,0.984863281,-0.030273438,-0.854492188,2.502441406,1.342773438,1.86E+08
192.168.43.70,-0.483886719,0.69140625,0.672363281,-3.234863281,0.48828125,-0.793457031,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.030761719,0.984863281,-0.032226563,-1.037597656,2.136230469,1.525878906,1.86E+08
192.168.43.70,-0.473632813,0.693847656,0.671875,-2.014160156,0.610351563,-1.281738281,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.022460938,0.982910156,-0.027832031,-1.281738281,3.051757813,1.220703125,1.86E+08
192.168.43.70,-0.493164063,0.701171875,0.669921875,-1.220703125,1.586914063,-1.037597656,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.025878906,0.985839844,-0.027832031,-1.037597656,3.784179688,1.342773438,1.86E+08
192.168.43.70,-0.514648438,0.702636719,0.665527344,-1.708984375,0.122070313,-0.854492188,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.033203125,0.984863281,-0.03125,-1.098632813,2.44140625,1.037597656,1.86E+08
192.168.43.70,-0.486328125,0.700683594,0.670898438,-2.258300781,-2.258300781,-0.671386719,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.029785156,0.985839844,-0.032714844,-1.403808594,1.098632813,1.159667969,1.86E+08
192.168.43.70,-0.470214844,0.695800781,0.677734375,-1.953125,-0.732421875,-0.9765625,2.04E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.024414063,0.985351563,-0.032714844,-1.708984375,0.183105469,1.281738281,1.86E+08
192.168.43.70,-0.506347656,0.692871094,0.666992188,-2.136230469,0.854492188,-0.854492188,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.027832031,0.983886719,-0.026367188,-1.708984375,0.549316406,1.098632813,1.86E+08
192.168.43.70,-0.493164063,0.692382813,0.665039063,-2.319335938,-1.647949219,-0.671386719,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.028808594,0.984375,-0.020507813,-1.525878906,0.915527344,0.854492188,1.86E+08
192.168.43.70,-0.480957031,0.690917969,0.670410156,-2.746582031,-1.403808594,-0.48828125,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.025390625,0.983398438,-0.022460938,-1.220703125,0.366210938,0.549316406,1.86E+08
192.168.43.70,-0.498535156,0.685546875,0.6640625,-2.868652344,0.183105469,-0.366210938,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.024902344,0.981445313,-0.018554688,-0.671386719,0.244140625,0.366210938,1.86E+08
192.168.43.70,-0.495605469,0.69140625,0.668945313,-2.380371094,-0.061035156,-0.671386719,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.031738281,0.983886719,-0.024902344,-0.48828125,0.305175781,0.427246094,1.86E+08
192.168.43.70,-0.501953125,0.688476563,0.666992188,-2.807617188,0.732421875,-0.549316406,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.027832031,0.986816406,-0.021972656,-0.610351563,-0.427246094,0.48828125,1.86E+08
192.168.43.70,-0.5,0.682617188,0.666503906,-2.502441406,0.061035156,-0.671386719,2.05E+08,,,,,,,,,
192.168.43.70,-0.479980469,0.684082031,0.676757813,-1.831054688,-0.793457031,-1.037597656,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.019042969,0.983398438,-0.021484375,-0.854492188,-0.366210938,0.244140625,1.86E+08
192.168.43.70,-0.485839844,0.681640625,0.67578125,-1.647949219,0.9765625,-1.281738281,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.021484375,0.981445313,-0.016601563,-0.793457031,0.610351563,0.427246094,1.86E+08
192.168.43.70,-0.489257813,0.681640625,0.670898438,-0.854492188,1.708984375,-1.281738281,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.027832031,0.986816406,-0.01953125,-0.061035156,0.610351563,0.244140625,1.86E+08
192.168.43.70,-0.478515625,0.680175781,0.669433594,-0.427246094,2.075195313,-1.342773438,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.024902344,0.986328125,-0.021484375,0.122070313,0.305175781,-0.061035156,1.86E+08
192.168.43.70,-0.484375,0.677246094,0.66015625,-0.305175781,3.051757813,-1.831054688,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.027832031,0.983886719,-0.022460938,0.366210938,0.366210938,-0.122070313,1.86E+08
192.168.43.70,-0.492675781,0.68359375,0.659667969,-0.122070313,3.540039063,-2.9296875,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.022949219,0.986328125,-0.022460938,0.48828125,0.305175781,-0.122070313,1.86E+08
192.168.43.70,-0.489257813,0.677246094,0.671875,-0.366210938,4.39453125,-3.051757813,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.026367188,0.985839844,-0.022460938,0.48828125,0.427246094,-0.122070313,1.86E+08
192.168.43.70,-0.486816406,0.668457031,0.668457031,0.244140625,5.187988281,-3.845214844,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.027832031,0.984375,-0.024414063,0.549316406,0.671386719,-0.183105469,1.86E+08
192.168.43.70,-0.492675781,0.673828125,0.661132813,1.037597656,5.432128906,-5.432128906,2.05E+08,,,,,,,,,
,,,,,,,,,192.168.43.159,-0.01953125,0.983398438,-0.016113281,0.732421875,0.610351563,-0.244140625,1.86E+08
